# Target loading - inner     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2023-11-10  05:59 cydza170
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -1.20277E-01   2.55245E+15   2.65085E+00   2.73179E+01   2.75112E+05   1.94203E+04   2.55692E+05   1.82097E+02   1.92382E+04   1.91865E+04   2.33736E+02   1.52447E+02   2.96501E+01  -2.46325E-01   3.80919E-01  -1.35092E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.49870E+00   1.23860E+00
 -1.08956E-01   5.44235E+15   3.04543E+00   2.67600E+01   2.88757E+05   2.98308E+04   2.58926E+05   3.61184E+02   2.94696E+04   2.94568E+04   3.74016E+02   2.99793E+02   6.13905E+01  -2.32256E-01   3.72914E-01  -1.34291E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.90226E+00   1.45189E+00
 -9.82887E-02   9.21054E+15   3.39777E+00   2.60814E+01   2.87679E+05   2.54041E+04   2.62275E+05   1.91709E+02   2.52124E+04   2.50366E+04   3.67499E+02   9.16741E+01   1.00035E+02  -2.18308E-01   3.65371E-01  -1.33537E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.25855E+00   1.61021E+00
 -8.82954E-02   2.75093E+16   3.76124E+00   2.51468E+01   3.02040E+05   3.63233E+04   2.65716E+05   1.22061E+03   3.51027E+04   3.56642E+04   6.59135E+02   9.33858E+02   2.86751E+02  -2.04415E-01   3.58305E-01  -1.32830E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.73473E+00   1.86988E+00
 -7.90058E-02   6.68814E+16   4.21874E+00   2.48671E+01   2.89910E+05   2.06656E+04   2.69244E+05   1.05562E+03   1.96100E+04   1.97815E+04   8.84102E+02   3.79549E+02   6.76071E+02  -1.90609E-01   3.51736E-01  -1.32174E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.14712E+00   2.05081E+00
 -7.03247E-02   1.38721E+17   4.74835E+00   2.55361E+01   2.98193E+05   2.53462E+04   2.72847E+05   1.50323E+03   2.38430E+04   2.36888E+04   1.65748E+03   9.86856E+01   1.40454E+03  -1.77066E-01   3.45597E-01  -1.31560E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.63717E+00   2.31198E+00
 -6.24164E-02   2.62511E+17   5.37085E+00   2.73198E+01   3.08308E+05   3.19372E+04   2.76371E+05   6.34973E+03   2.55874E+04   2.89805E+04   2.95670E+03   3.66447E+03   2.68526E+03  -1.63868E-01   3.40005E-01  -1.31001E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.18765E+00   2.61287E+00
 -5.51936E-02   4.41572E+17   6.10788E+00   2.96516E+01   3.35497E+05   3.83648E+04   2.97133E+05   1.79534E+04   2.04114E+04   3.35313E+04   4.83350E+03   1.33364E+04   4.61697E+03  -1.50815E-01   3.35176E-01  -1.30465E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.64881E+00   2.80866E+00
 -4.77499E-02   7.05123E+17   6.97374E+00   3.27136E+01   3.49913E+05   2.44365E+04   3.25477E+05   1.96756E+04   4.76096E+03   1.83627E+04   6.07384E+03   1.36523E+04   6.02333E+03  -1.38028E-01   3.33000E-01  -1.29797E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.21650E+00   3.09547E+00
 -4.01978E-02   1.06007E+18   7.89230E+00   3.58523E+01   3.70686E+05   4.47151E+04   3.25971E+05   4.03201E+04   4.39498E+03   3.56214E+04   9.09368E+03   3.12730E+04   9.04706E+03  -1.25747E-01   3.33000E-01  -1.29042E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.83366E+00   3.43327E+00
