# Target loading - inner_top : b2mn     B2.5 bjb99/7 SOLPS-ITER  2023-11-10  05:59 cydza170
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -1.20277E-01   3.04877E+15   2.68760E+00   2.62732E+01   2.83968E+05   2.79347E+04   2.56034E+05   2.00273E+02   2.77344E+04   2.76235E+04   3.11188E+02   1.65975E+02   3.42978E+01  -2.46324E-01   3.80919E-01   1.35092E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.49870E+00   1.26010E+00
 -1.08955E-01   5.90553E+15   3.08012E+00   2.66448E+01   2.89632E+05   3.03303E+04   2.59301E+05   4.10916E+02   2.99194E+04   2.99650E+04   3.65298E+02   3.44322E+02   6.65938E+01  -2.32255E-01   3.72913E-01   1.34291E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.90226E+00   1.45037E+00
 -9.82877E-02   1.45457E+16   3.41368E+00   2.59170E+01   2.88017E+05   2.53251E+04   2.62692E+05   7.82897E+02   2.45422E+04   2.49251E+04   3.99955E+02   6.27962E+02   1.54935E+02  -2.18307E-01   3.65370E-01   1.33537E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.25855E+00   1.64834E+00
 -8.82943E-02   3.30452E+16   3.80022E+00   2.49358E+01   2.93379E+05   2.71888E+04   2.66190E+05   9.05603E+02   2.62832E+04   2.65809E+04   6.07955E+02   5.60050E+02   3.45553E+02  -2.04414E-01   3.58304E-01   1.32830E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.73473E+00   1.86484E+00
 -7.90045E-02   6.82460E+16   4.24957E+00   2.47234E+01   3.00017E+05   3.02445E+04   2.69773E+05   2.92536E+03   2.73192E+04   2.92912E+04   9.53319E+02   2.24479E+03   6.80574E+02  -1.90608E-01   3.51735E-01   1.32174E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.14712E+00   2.09631E+00
 -7.03233E-02   1.42430E+17   4.80424E+00   2.55281E+01   3.01308E+05   2.78694E+04   2.73439E+05   4.64078E+03   2.32286E+04   2.61964E+04   1.67291E+03   3.19978E+03   1.44100E+03  -1.77064E-01   3.45597E-01   1.31560E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.63717E+00   2.32519E+00
 -6.24150E-02   2.64527E+17   5.43301E+00   2.73558E+01   3.06624E+05   2.96604E+04   2.76964E+05   1.10126E+04   1.86478E+04   2.67153E+04   2.94508E+03   8.25365E+03   2.75891E+03  -1.63866E-01   3.40004E-01   1.31000E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.18765E+00   2.57477E+00
 -5.51922E-02   4.62105E+17   6.15746E+00   2.97142E+01   3.33151E+05   3.60162E+04   2.97135E+05   1.33580E+04   2.26581E+04   3.09517E+04   5.06448E+03   8.51975E+03   4.83827E+03  -1.50813E-01   3.35176E-01   1.30465E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.64881E+00   2.84015E+00
 -4.77486E-02   7.36197E+17   6.95955E+00   3.25961E+01   3.48978E+05   2.63036E+04   3.22674E+05   2.31794E+04   3.12420E+03   2.00160E+04   6.28766E+03   1.69229E+04   6.25646E+03  -1.38026E-01   3.33000E-01   1.29797E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.21650E+00   3.12103E+00
 -4.01964E-02   1.05481E+18   7.94932E+00   3.58152E+01   3.59356E+05   3.61563E+04   3.23200E+05   2.95761E+04   6.58019E+03   2.69054E+04   9.25091E+03   2.03909E+04   9.18522E+03  -1.25745E-01   3.33000E-01   1.29042E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.83366E+00   3.40039E+00
