# Target loading - outer     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2023-11-10  05:59 cydza170
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -3.94517E-01   1.36136E+16   2.64954E+00   2.72938E+01   1.49536E+05   1.35762E+04   1.35960E+05   2.87183E+02   1.32891E+04   1.07345E+04   2.84178E+03   2.41096E+02   4.60877E+01  -2.46325E-01   1.11508E+00  -2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.28774E+01   6.38330E+00
 -3.52409E-01   2.87864E+16   3.03301E+00   2.66593E+01   1.55421E+05   1.18798E+04   1.43541E+05   2.68209E+02   1.16116E+04   9.35371E+03   2.52613E+03   1.84881E+02   8.33287E+01  -2.32256E-01   1.15719E+00  -2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.41490E+01   7.07818E+00
 -3.07876E-01   5.83281E+16   3.35391E+00   2.58686E+01   1.66967E+05   1.24317E+04   1.54536E+05  -3.77991E+02   1.28097E+04   9.59079E+03   2.84087E+03  -5.24026E+02   1.46034E+02  -2.18308E-01   1.20172E+00  -2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.53332E+01   7.57691E+00
 -2.60278E-01   1.13237E+17   3.64286E+00   2.45062E+01   1.83550E+05   1.27501E+04   1.70800E+05   1.08925E+03   1.16609E+04   1.00684E+04   2.68174E+03   8.60673E+02   2.28580E+02  -2.04415E-01   1.24932E+00  -2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.71699E+01   8.59653E+00
 -2.08657E-01   2.13715E+17   3.89394E+00   2.31927E+01   2.08308E+05   1.30748E+04   1.95233E+05   1.20487E+03   1.18699E+04   1.02200E+04   2.85480E+03   8.47208E+02   3.57658E+02  -1.90609E-01   1.30094E+00  -2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.88744E+01   9.33367E+00
 -1.64444E-01   3.90245E+17   4.00836E+00   2.15543E+01   1.92238E+05   8.26911E+03   1.83968E+05   7.31946E+02   7.53716E+03   5.79419E+03   2.47492E+03  -1.57337E+02   8.89283E+02  -1.77066E-01   1.34430E+00  -2.05465E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.03769E+01   1.01595E+01
 -1.36022E-01   6.86526E+17   4.33947E+00   2.02446E+01   1.31465E+05   2.00587E+04   1.11406E+05   8.08883E+03   1.19699E+04   1.54647E+04   4.59398E+03   6.01302E+03   2.07581E+03  -1.63868E-01   1.36860E+00  -2.04140E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.14264E+01   1.07919E+01
 -1.14850E-01   1.17263E+18   4.82262E+00   1.93563E+01   1.46635E+05   2.12876E+04   1.25348E+05   1.11607E+04   1.01269E+04   1.55838E+04   5.70378E+03   7.58734E+03   3.57332E+03  -1.50815E-01   1.38357E+00  -2.02643E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.15316E+01   1.07059E+01
 -9.59634E-02   2.00278E+18   5.22682E+00   1.79965E+01   1.67354E+05   2.45913E+04   1.42762E+05   1.52659E+04   9.32543E+03   1.67029E+04   7.88841E+03   9.33936E+03   5.92656E+03  -1.38028E-01   1.39692E+00  -2.01308E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.21462E+01   1.10276E+01
 -7.92256E-02   3.35733E+18   5.43983E+00   1.64998E+01   1.99460E+05   3.46697E+04   1.64790E+05   2.33802E+04   1.12896E+04   2.28675E+04   1.18023E+04   1.39529E+04   9.42723E+03  -1.25747E-01   1.40876E+00  -2.00124E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.28157E+01   1.14628E+01
