# Target loading - outer_top : b2mn     B2.5 bjb99/7 SOLPS-ITER  2023-11-10  05:59 cydza170
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -3.94516E-01   1.54692E+16   2.68961E+00   2.62429E+01   1.45479E+05   1.04771E+04   1.35002E+05  -5.55056E+02   1.10321E+04   8.06188E+03   2.41517E+03  -6.05774E+02   5.07181E+01  -2.46324E-01   1.11508E+00   2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.28774E+01   6.49409E+00
 -3.52407E-01   3.15871E+16   3.07436E+00   2.65762E+01   1.54820E+05   1.25261E+04   1.42294E+05   5.00718E+02   1.20254E+04   9.85771E+03   2.66843E+03   4.09636E+02   9.10821E+01  -2.32255E-01   1.15719E+00   2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.41490E+01   7.07079E+00
 -3.07873E-01   6.61764E+16   3.36072E+00   2.56892E+01   1.62838E+05   9.94853E+03   1.52889E+05   9.72537E+02   8.97600E+03   7.86242E+03   2.08612E+03   8.10200E+02   1.62337E+02  -2.18307E-01   1.20172E+00   2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.53332E+01   7.75633E+00
 -2.60274E-01   1.23384E+17   3.67363E+00   2.42744E+01   1.79335E+05   1.07635E+04   1.68572E+05   2.61530E+02   1.05020E+04   8.26302E+03   2.50047E+03   1.18897E+01   2.49640E+02  -2.04414E-01   1.24932E+00   2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.71699E+01   8.57336E+00
 -2.08651E-01   2.44528E+17   3.82000E+00   2.29457E+01   2.04993E+05   1.28979E+04   1.92096E+05   1.28692E+03   1.16110E+04   1.00105E+04   2.88742E+03   8.88024E+02   3.98899E+02  -1.90608E-01   1.30094E+00   2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.88744E+01   9.54077E+00
 -1.64439E-01   4.15306E+17   4.06530E+00   2.15549E+01   1.95020E+05   1.34053E+04   1.81615E+05   3.20116E+03   1.02041E+04   1.02745E+04   3.13075E+03   2.25741E+03   9.43752E+02  -1.77064E-01   1.34430E+00   2.05465E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.03769E+01   1.02175E+01
 -1.36018E-01   7.16543E+17   4.44920E+00   2.03893E+01   1.25480E+05   1.35036E+04   1.11976E+05   5.52167E+03   7.98189E+03   9.57257E+03   3.93099E+03   3.30140E+03   2.22027E+03  -1.63866E-01   1.36860E+00   2.04140E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.14264E+01   1.06344E+01
 -1.14847E-01   1.23212E+18   4.84473E+00   1.90476E+01   1.43435E+05   1.74963E+04   1.25938E+05   1.10638E+04   6.43249E+03   1.24088E+04   5.08756E+03   7.35492E+03   3.70892E+03  -1.50813E-01   1.38357E+00   2.02643E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.15316E+01   1.08258E+01
 -9.59603E-02   2.18304E+18   5.07316E+00   1.72861E+01   1.64861E+05   2.15503E+04   1.43311E+05   1.38548E+04   7.69558E+03   1.35886E+04   7.96171E+03   7.54240E+03   6.31236E+03  -1.38026E-01   1.39693E+00   2.01307E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.21462E+01   1.11186E+01
 -7.92228E-02   3.48943E+18   5.33628E+00   1.58319E+01   2.08052E+05   4.28390E+04   1.65213E+05   2.95974E+04   1.32415E+04   3.02384E+04   1.26006E+04   1.98348E+04   9.76260E+03  -1.25745E-01   1.40876E+00   2.00124E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.28157E+01   1.13529E+01
