# Target loading - inner     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2023-11-10  05:16 cydza170
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -1.20277E-01   1.38883E+14   2.87601E+00   5.54499E+01   1.83139E+04   8.21316E+03   1.01008E+04   2.45896E+01   8.18857E+03   8.13554E+03   7.76197E+01   2.23388E+01   2.25084E+00  -2.46325E-01   3.80919E-01  -1.35092E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.49870E+00   1.23860E+00
 -1.08956E-01   4.70502E+14   3.27242E+00   5.49261E+01   2.31766E+04   1.28266E+04   1.03500E+04  -1.09475E+01   1.28375E+04   1.27010E+04   1.25601E+02  -1.83903E+01   7.44289E+00  -2.32256E-01   3.72914E-01  -1.34291E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.90226E+00   1.45189E+00
 -9.82887E-02   1.19390E+15   3.59091E+00   5.30562E+01   2.47828E+04   1.41694E+04   1.06134E+04   9.91927E+01   1.40702E+04   1.40218E+04   1.47536E+02   8.11607E+01   1.80320E+01  -2.18308E-01   3.65371E-01  -1.33537E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.25855E+00   1.61021E+00
 -8.82954E-02   2.73121E+15   4.05937E+00   5.08856E+01   2.01970E+04   9.30679E+03   1.08902E+04   1.08489E+02   9.19830E+03   9.18282E+03   1.23967E+02   6.91841E+01   3.93050E+01  -2.04415E-01   3.58305E-01  -1.32830E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.73473E+00   1.86988E+00
 -7.90058E-02   5.91826E+15   4.62538E+00   4.89564E+01   2.55245E+04   1.43426E+04   1.11819E+04   3.16798E+02   1.40258E+04   1.41322E+04   2.10402E+02   2.35491E+02   8.13067E+01  -1.90609E-01   3.51736E-01  -1.32174E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.14712E+00   2.05081E+00
 -7.03247E-02   1.21916E+16   5.33811E+00   4.72954E+01   2.24458E+04   1.09578E+04   1.14880E+04   9.58210E+02   9.99962E+03   1.07032E+04   2.54668E+02   7.95580E+02   1.62630E+02  -1.77066E-01   3.45597E-01  -1.31560E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.63717E+00   2.31198E+00
 -6.24164E-02   2.63176E+16   6.24426E+00   4.59036E+01   2.65489E+04   1.47538E+04   1.17951E+04   2.42535E+03   1.23284E+04   1.43007E+04   4.53058E+02   2.08576E+03   3.39585E+02  -1.63868E-01   3.40005E-01  -1.31001E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.18765E+00   2.61287E+00
 -5.51936E-02   5.09967E+16   7.43949E+00   4.50700E+01   2.07565E+04   8.44681E+03   1.23097E+04   2.72291E+03   5.72390E+03   7.74711E+03   6.99700E+02   2.07589E+03   6.47016E+02  -1.50815E-01   3.35176E-01  -1.30465E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.64881E+00   2.80866E+00
 -4.77499E-02   9.46011E+16   9.01452E+00   4.47846E+01   2.41951E+04   1.36028E+04   1.05923E+04   5.55412E+03   8.04866E+03   1.25855E+04   1.01728E+03   4.61092E+03   9.43195E+02  -1.38028E-01   3.33000E-01  -1.29797E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.21650E+00   3.09547E+00
 -4.01978E-02   1.56957E+17   1.12326E+01   4.55456E+01   2.45631E+04   1.38345E+04   1.07286E+04   5.88479E+03   7.94967E+03   1.22348E+04   1.59968E+03   4.35828E+03   1.52651E+03  -1.25747E-01   3.33000E-01  -1.29042E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.83366E+00   3.43327E+00
