# Target loading - outer     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2023-11-10  05:13 cydza170
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -3.94517E-01   7.39411E+15   2.52806E+00   2.39330E+01   3.18196E+04   5.24511E+03   2.65745E+04   1.30538E+02   5.11457E+03   5.04243E+03   2.02681E+02   1.07002E+02   2.35351E+01  -2.46325E-01   1.11508E+00  -2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.28774E+01   6.38330E+00
 -3.52409E-01   1.48117E+16   2.86793E+00   2.40617E+01   3.32994E+04   4.98503E+03   2.83144E+04   1.41026E+02   4.84400E+03   4.77475E+03   2.10274E+02   1.00421E+02   4.06052E+01  -2.32256E-01   1.15719E+00  -2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.41490E+01   7.07818E+00
 -3.07876E-01   3.05954E+16   3.13907E+00   2.31719E+01   3.67190E+04   6.20527E+03   3.05138E+04   3.89336E+02   5.81593E+03   5.92876E+03   2.76513E+02   3.16536E+02   7.28004E+01  -2.18308E-01   1.20172E+00  -2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.53332E+01   7.57691E+00
 -2.60278E-01   5.79899E+16   3.46698E+00   2.24595E+01   3.95764E+04   6.32100E+03   3.32554E+04   5.89496E+02   5.73150E+03   6.00794E+03   3.13056E+02   4.77195E+02   1.12300E+02  -2.04415E-01   1.24932E+00  -2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.71699E+01   8.59653E+00
 -2.08657E-01   1.04327E+17   3.76467E+00   2.17512E+01   4.28391E+04   6.31430E+03   3.65248E+04   4.51252E+02   5.86305E+03   5.93957E+03   3.74730E+02   2.81884E+02   1.69367E+02  -1.90609E-01   1.30094E+00  -2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.88744E+01   9.33367E+00
 -1.64444E-01   1.78789E+17   4.09414E+00   2.12030E+01   4.12997E+04   6.37222E+03   3.49274E+04   1.17647E+03   5.19575E+03   5.78581E+03   5.86411E+02   7.72050E+02   4.04422E+02  -1.77066E-01   1.34430E+00  -2.05465E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.03769E+01   1.01595E+01
 -1.36022E-01   2.99336E+17   4.44819E+00   2.08414E+01   3.27493E+04   7.75153E+03   2.49978E+04   3.13213E+03   4.61941E+03   6.67208E+03   1.07946E+03   2.21447E+03   9.17655E+02  -1.63868E-01   1.36860E+00  -2.04140E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.14264E+01   1.07919E+01
 -1.14850E-01   4.81228E+17   4.94400E+00   2.07584E+01   3.74238E+04   9.53784E+03   2.78860E+04   4.10383E+03   5.43401E+03   7.83536E+03   1.70248E+03   2.59168E+03   1.51215E+03  -1.50815E-01   1.38357E+00  -2.02643E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.15316E+01   1.07059E+01
 -9.59634E-02   7.71210E+17   5.33001E+00   2.04504E+01   4.46623E+04   1.35257E+04   3.11367E+04   7.64577E+03   5.87989E+03   1.09146E+04   2.61111E+03   5.24062E+03   2.40515E+03  -1.38028E-01   1.39692E+00  -2.01308E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.21462E+01   1.10276E+01
 -7.92256E-02   1.15779E+18   5.85500E+00   2.02515E+01   4.81689E+04   1.34208E+04   3.47481E+04   8.62860E+03   4.79219E+03   9.70442E+03   3.71637E+03   5.08008E+03   3.54851E+03  -1.25747E-01   1.40876E+00  -2.00124E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.28157E+01   1.14628E+01
