# Target loading - outer_top : b2mn     B2.5 bjb99/7 SOLPS-ITER  2023-11-09  08:48 cydza170
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -3.94516E-01   9.92028E+15   2.37472E+00   1.96011E+01   3.44915E+04   5.59038E+03   2.89011E+04  -1.86738E+01   5.60905E+03   5.31203E+03   2.78345E+02  -4.70322E+01   2.83584E+01  -2.46324E-01   1.11508E+00   2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.28774E+01   6.49409E+00
 -3.52407E-01   1.83843E+16   2.71075E+00   2.01194E+01   3.78112E+04   7.03687E+03   3.07743E+04   1.91786E+02   6.84508E+03   6.68523E+03   3.51635E+02   1.45225E+02   4.65609E+01  -2.32255E-01   1.15719E+00   2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.41490E+01   7.07079E+00
 -3.07873E-01   3.54339E+16   2.95893E+00   1.96120E+01   3.98346E+04   6.64428E+03   3.31903E+04   1.05260E+02   6.53902E+03   6.27638E+03   3.67900E+02   2.87928E+01   7.64668E+01  -2.18307E-01   1.20172E+00   2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.53332E+01   7.75633E+00
 -2.60274E-01   6.46620E+16   3.22415E+00   1.90032E+01   4.30702E+04   6.80045E+03   3.62697E+04   3.71103E+02   6.42935E+03   6.39743E+03   4.03030E+02   2.54619E+02   1.16484E+02  -2.04414E-01   1.24932E+00   2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.71699E+01   8.57336E+00
 -2.08651E-01   1.12407E+17   3.43010E+00   1.83927E+01   4.80268E+04   7.99439E+03   4.00324E+04   5.01206E+02   7.49318E+03   7.49486E+03   4.99527E+02   3.35638E+02   1.65568E+02  -1.90608E-01   1.30094E+00   2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.88744E+01   9.54077E+00
 -1.64439E-01   1.87512E+17   3.67250E+00   1.79527E+01   4.66689E+04   8.32925E+03   3.83397E+04   1.14881E+03   7.18044E+03   7.61756E+03   7.11692E+02   7.57142E+02   3.91672E+02  -1.77064E-01   1.34430E+00   2.05465E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.03769E+01   1.02175E+01
 -1.36018E-01   3.09916E+17   3.95893E+00   1.75383E+01   3.46334E+04   7.32319E+03   2.73102E+04   1.62036E+03   5.70283E+03   6.17548E+03   1.14771E+03   7.26813E+02   8.93546E+02  -1.63866E-01   1.36860E+00   2.04140E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.14264E+01   1.06344E+01
 -1.14847E-01   5.11341E+17   4.34729E+00   1.72347E+01   4.07998E+04   1.02301E+04   3.05697E+04   3.92181E+03   6.30828E+03   8.48638E+03   1.74370E+03   2.45925E+03   1.46255E+03  -1.50813E-01   1.38357E+00   2.02643E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.15316E+01   1.08258E+01
 -9.59603E-02   8.14178E+17   4.72699E+00   1.68281E+01   4.54183E+04   1.11356E+04   3.42827E+04   6.14358E+03   4.99202E+03   8.60394E+03   2.53166E+03   3.83440E+03   2.30918E+03  -1.38026E-01   1.39693E+00   2.01307E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.21462E+01   1.11186E+01
 -7.92228E-02   1.29018E+18   5.04375E+00   1.63454E+01   5.48910E+04   1.64108E+04   3.84803E+04   7.76706E+03   8.64369E+03   1.23940E+04   4.01675E+03   4.13554E+03   3.63152E+03  -1.25745E-01   1.40876E+00   2.00124E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.28157E+01   1.13529E+01
