# Target loading - inner_top : b2mn     B2.5 bjb99/7 SOLPS-ITER  2023-11-10  05:24 cydza170
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -1.20277E-01   8.29017E+14   2.80127E+00   2.92683E+01   1.09912E+05   1.57123E+04   9.41994E+04   6.58670E+01   1.56464E+04   1.55161E+04   1.96168E+02   5.60520E+01   9.81496E+00  -2.46324E-01   3.80919E-01   1.35092E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.49870E+00   1.26010E+00
 -1.08955E-01   4.59416E+15   3.23103E+00   2.95541E+01   1.12796E+05   1.71113E+04   9.56848E+04   2.66144E+02   1.68452E+04   1.68562E+04   2.55062E+02   2.11711E+02   5.44326E+01  -2.32255E-01   3.72913E-01   1.34291E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.90226E+00   1.45037E+00
 -9.82877E-02   9.94443E+15   3.56901E+00   2.84316E+01   1.23192E+05   2.59834E+04   9.72089E+04   7.14347E+02   2.52691E+04   2.55721E+04   4.11319E+02   6.03989E+02   1.10359E+02  -2.18307E-01   3.65370E-01   1.33537E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.25855E+00   1.64834E+00
 -8.82943E-02   2.13941E+16   3.95694E+00   2.73118E+01   1.17932E+05   1.91652E+04   9.87672E+04   6.99401E+02   1.84658E+04   1.87122E+04   4.53086E+02   4.66247E+02   2.33154E+02  -2.04414E-01   3.58304E-01   1.32830E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.73473E+00   1.86484E+00
 -7.90045E-02   5.16738E+16   4.40795E+00   2.65725E+01   1.12566E+05   1.22139E+04   1.00352E+05   1.38400E+03   1.08299E+04   1.15520E+04   6.61936E+02   8.51047E+02   5.32949E+02  -1.90608E-01   3.51735E-01   1.32174E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.14712E+00   2.09631E+00
 -7.03233E-02   1.09360E+17   4.83652E+00   2.63312E+01   1.21221E+05   1.92526E+04   1.01969E+05   2.50487E+03   1.67477E+04   1.79299E+04   1.32265E+03   1.38169E+03   1.12318E+03  -1.77064E-01   3.45597E-01   1.31560E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.63717E+00   2.32519E+00
 -6.24150E-02   2.06093E+17   5.56712E+00   2.70945E+01   1.24414E+05   2.08835E+04   1.03530E+05   7.43571E+03   1.34478E+04   1.85752E+04   2.30833E+03   5.28755E+03   2.14816E+03  -1.63866E-01   3.40004E-01   1.31000E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.18765E+00   2.57477E+00
 -5.51922E-02   3.71629E+17   6.26561E+00   2.83975E+01   1.42180E+05   3.04291E+04   1.11751E+05   1.28703E+04   1.75588E+04   2.63935E+04   4.03563E+03   9.04381E+03   3.82650E+03  -1.50813E-01   3.35176E-01   1.30465E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.64881E+00   2.84015E+00
 -4.77486E-02   6.15095E+17   7.03346E+00   3.02301E+01   1.46308E+05   2.23724E+04   1.23935E+05   1.81571E+04   4.21528E+03   1.72485E+04   5.12389E+03   1.30834E+04   5.07369E+03  -1.38026E-01   3.33000E-01   1.29797E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.21650E+00   3.12103E+00
 -4.01964E-02   9.68598E+17   7.93267E+00   3.25102E+01   1.66023E+05   4.17053E+04   1.24318E+05   3.48437E+04   6.86155E+03   3.35057E+04   8.19953E+03   2.67259E+04   8.11781E+03  -1.25745E-01   3.33000E-01   1.29042E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.83366E+00   3.40039E+00
 -3.32962E-02   1.42439E+18   9.08513E+00   3.52708E+01   1.82129E+05   5.73054E+04   1.24824E+05   4.99531E+04   7.35228E+03   4.55634E+04   1.17420E+04   3.82987E+04   1.16544E+04  -1.13761E-01   3.33000E-01   1.28352E+00   0.00000E+00   0.00000E+00   0.00000E+00   7.27212E+00   3.67112E+00
 -2.71131E-02   1.94613E+18   1.04590E+01   3.81775E+01   2.19455E+05   9.40308E+04   1.25424E+05   7.93961E+04   1.46347E+04   7.71131E+04   1.69176E+04   6.26527E+04   1.67433E+04  -1.02011E-01   3.33000E-01   1.27733E+00   0.00000E+00   0.00000E+00   0.00000E+00   7.99869E+00   3.98227E+00
 -2.17083E-02   2.51738E+18   1.22879E+01   4.14742E+01   2.15266E+05   8.90712E+04   1.26195E+05   8.29286E+04   6.14261E+03   6.73607E+04   2.17105E+04   6.12913E+04   2.16373E+04  -9.07468E-02   3.33000E-01   1.27193E+00   0.00000E+00   0.00000E+00   0.00000E+00   8.68752E+00   4.35867E+00
 -1.69125E-02   3.12554E+18   1.46831E+01   4.49861E+01   2.93547E+05   1.66308E+05   1.27239E+05   1.56597E+05   9.71086E+03   1.39125E+05   2.71823E+04   1.29530E+05   2.70666E+04  -7.98199E-02   3.33000E-01   1.26713E+00   0.00000E+00   0.00000E+00   0.00000E+00   9.22613E+00   4.65972E+00
 -1.27832E-02   3.75298E+18   1.78423E+01   4.90559E+01   3.52949E+05   2.24420E+05   1.28529E+05   2.10083E+05   1.43375E+04   1.89605E+05   3.48154E+04   1.75438E+05   3.46447E+04  -6.91419E-02   3.33000E-01   1.26300E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.02368E+01   5.11825E+00
 -9.36152E-03   4.35352E+18   2.19957E+01   5.45354E+01   4.52160E+05   3.22186E+05   1.29973E+05   3.09943E+05   1.22436E+04   2.79705E+05   4.24808E+04   2.67608E+05   4.23350E+04  -5.89341E-02   3.33000E-01   1.25958E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.10606E+01   5.53659E+00
 -6.55515E-03   5.02704E+18   2.71409E+01   6.14633E+01   5.11858E+05   3.80362E+05   1.31496E+05   3.67348E+05   1.30145E+04   3.27717E+05   5.26452E+04   3.14858E+05   5.24902E+04  -4.88733E-02   3.33000E-01   1.25678E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.24034E+01   6.15576E+00
 -4.23756E-03   5.86698E+18   3.41536E+01   7.02577E+01   7.69519E+05   6.36317E+05   1.33203E+05   6.18207E+05   1.81093E+04   5.71813E+05   6.45040E+04   5.53919E+05   6.42883E+04  -3.89380E-02   3.33000E-01   1.25446E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.31216E+01   6.54361E+00
 -2.30021E-03   6.80963E+18   4.48040E+01   8.00108E+01   1.02706E+06   8.91921E+05   1.35140E+05   8.67691E+05   2.42295E+04   8.13231E+05   7.86893E+04   7.89290E+05   7.84008E+04  -2.82277E-02   3.33000E-01   1.25252E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.51290E+01   7.64747E+00
 -7.09735E-04   7.72810E+18   6.26094E+01   8.99278E+01   1.41235E+06   1.27527E+06   1.37080E+05   1.25156E+06   2.37088E+04   1.17653E+06   9.87355E+04   1.15310E+06   9.84532E+04  -1.11901E-02   3.33000E-01   1.25093E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.93259E+01   9.73982E+00
  7.73045E-04   8.12037E+18   6.79835E+01   9.13476E+01   1.52568E+06   1.38689E+06   1.38792E+05   1.35311E+06   3.37809E+04   1.28354E+06   1.03346E+05   1.25017E+06   1.02943E+05   2.63050E-04   3.33000E-01   1.24945E+00   7.03235E+07   1.21909E+08   8.21926E+06   2.58432E+01   1.04113E+01
  2.61998E-03   8.41016E+18   7.02279E+01   9.22702E+01   1.82534E+06   1.68469E+06   1.40643E+05   1.65581E+06   2.88822E+04   1.57386E+06   1.10829E+05   1.54532E+06   1.10485E+05   8.96917E-04   3.33000E-01   1.24760E+00   6.30776E+07   1.06857E+08   7.39523E+06   2.02631E+01   7.55714E+00
  5.04238E-03   8.74745E+18   7.06213E+01   9.33107E+01   2.09468E+06   1.95185E+06   1.42825E+05   1.89006E+06   6.17968E+04   1.83612E+06   1.15733E+05   1.77506E+06   1.14997E+05   1.73343E-03   3.33000E-01   1.24518E+00   4.88803E+07   8.12542E+07   5.60133E+06   1.85259E+01   6.65000E+00
  7.98778E-03   8.66290E+18   6.95445E+01   9.41794E+01   1.83426E+06   1.69107E+06   1.43183E+05   1.65152E+06   3.95482E+04   1.57740E+06   1.13668E+05   1.53833E+06   1.13197E+05   2.75882E-03   3.33000E-01   1.24223E+00   3.89474E+07   6.35505E+07   4.35972E+06   1.74548E+01   6.24806E+00
  1.14256E-02   8.46909E+18   6.76271E+01   9.42423E+01   1.88373E+06   1.74121E+06   1.42521E+05   1.69326E+06   4.79516E+04   1.63253E+06   1.08674E+05   1.58515E+06   1.08103E+05   3.96711E-03   3.33000E-01   1.23880E+00   3.25404E+07   5.21170E+07   3.51184E+06   1.67769E+01   5.90462E+00
  1.54578E-02   8.24489E+18   6.53913E+01   9.38919E+01   1.66952E+06   1.52786E+06   1.41667E+05   1.47784E+06   5.00138E+04   1.43075E+06   9.71115E+04   1.38133E+06   9.65158E+04   5.33417E-03   3.33000E-01   1.23476E+00   2.75584E+07   4.33546E+07   2.70005E+06   1.60735E+01   5.56300E+00
  2.00249E-02   7.76341E+18   6.29646E+01   9.30575E+01   1.48175E+06   1.34130E+06   1.40452E+05   1.29102E+06   5.02792E+04   1.25063E+06   9.06615E+04   1.20095E+06   9.00626E+04   6.83165E-03   3.33000E-01   1.23020E+00   2.35308E+07   3.63737E+07   2.26777E+06   1.54420E+01   5.26626E+00
