# Target loading - inner     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2023-11-10  07:27 cydza170
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -1.20277E-01   1.24750E+16   2.27853E+00   1.61572E+01   6.67293E+04   2.07263E+04   4.60030E+04   1.46831E+02   2.05795E+04   2.03781E+04   3.48240E+02   3.32887E+01   1.13542E+02  -2.46325E-01   3.80919E-01  -1.35092E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.49870E+00   1.23860E+00
 -1.08956E-01   2.38362E+16   2.63356E+00   1.70100E+01   7.38247E+04   2.64528E+04   4.73719E+04   5.20895E+02   2.59319E+04   2.59403E+04   5.12446E+02   3.04190E+02   2.16706E+02  -2.32256E-01   3.72914E-01  -1.34291E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.90226E+00   1.45189E+00
 -9.82887E-02   4.89935E+16   3.00437E+00   1.75730E+01   8.21336E+04   3.32033E+04   4.89303E+04   1.20338E+03   3.19999E+04   3.23919E+04   8.11422E+02   7.56904E+02   4.46479E+02  -2.18308E-01   3.65371E-01  -1.33537E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.25855E+00   1.61021E+00
 -8.82954E-02   9.67387E+16   3.43717E+00   1.88189E+01   8.39382E+04   3.32405E+04   5.06977E+04   2.71047E+03   3.05300E+04   3.20067E+04   1.23386E+03   1.82479E+03   8.85676E+02  -2.04415E-01   3.58305E-01  -1.32830E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.73473E+00   1.86988E+00
 -7.90058E-02   1.73531E+17   3.95919E+00   2.07020E+01   9.13254E+04   3.86649E+04   5.26605E+04   4.08626E+03   3.45787E+04   3.66534E+04   2.01150E+03   2.46911E+03   1.61715E+03  -1.90609E-01   3.51736E-01  -1.32174E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.14712E+00   2.05081E+00
 -7.03247E-02   3.02232E+17   4.53739E+00   2.31074E+01   9.00155E+04   3.53327E+04   5.46828E+04   1.19904E+04   2.33423E+04   3.21407E+04   3.19197E+03   9.06463E+03   2.92576E+03  -1.77066E-01   3.45597E-01  -1.31560E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.63717E+00   2.31198E+00
 -6.24164E-02   4.75742E+17   5.20835E+00   2.59500E+01   9.71557E+04   4.03318E+04   5.68238E+04   1.12247E+04   2.91071E+04   3.52438E+04   5.08799E+03   6.46864E+03   4.75604E+03  -1.63868E-01   3.40005E-01  -1.31001E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.18765E+00   2.61287E+00
 -5.51936E-02   7.22315E+17   5.88327E+00   2.86163E+01   9.97695E+04   4.00026E+04   5.97669E+04   1.44856E+04   2.55170E+04   3.22715E+04   7.73111E+03   7.04553E+03   7.44010E+03  -1.50815E-01   3.35176E-01  -1.30465E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.64881E+00   2.80866E+00
 -4.77499E-02   1.07133E+18   6.67638E+00   3.17114E+01   8.75600E+04   3.82580E+04   4.93020E+04   2.77057E+04   1.05524E+04   2.91155E+04   9.14256E+03   1.86835E+04   9.02221E+03  -1.38028E-01   3.33000E-01  -1.29797E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.21650E+00   3.09547E+00
 -4.01978E-02   1.47484E+18   7.55331E+00   3.50773E+01   1.02250E+05   5.27846E+04   4.94651E+04   4.47599E+04   8.02467E+03   4.02606E+04   1.25240E+04   3.23274E+04   1.24325E+04  -1.25747E-01   3.33000E-01  -1.29042E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.83366E+00   3.43327E+00
