# Target loading - inner_top : b2mn     B2.5 bjb99/7 SOLPS-ITER  2023-11-10  07:17 cydza170
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -1.20277E-01   2.08346E+15   3.11646E+00   3.95597E+01   6.04896E+04   3.00656E+04   3.04239E+04   1.64655E+01   3.00492E+04   2.97836E+04   2.81975E+02  -1.19245E+01   2.83900E+01  -2.46324E-01   3.80919E-01   1.35092E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.49870E+00   1.26010E+00
 -1.08955E-01   4.71504E+15   3.60280E+00   3.98561E+01   7.87161E+04   4.74273E+04   3.12888E+04   5.13089E+02   4.69142E+04   4.69671E+04   4.60132E+02   4.48866E+02   6.42231E+01  -2.32255E-01   3.72913E-01   1.34291E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.90226E+00   1.45037E+00
 -9.82877E-02   1.14258E+16   4.01467E+00   3.82795E+01   7.25520E+04   4.02749E+04   3.22770E+04   4.44556E+02   3.98304E+04   3.97928E+04   4.82125E+02   2.98559E+02   1.45997E+02  -2.18307E-01   3.65370E-01   1.33537E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.25855E+00   1.64834E+00
 -8.82943E-02   2.65085E+16   4.53421E+00   3.66295E+01   7.02729E+04   3.68513E+04   3.34216E+04   1.49899E+03   3.53523E+04   3.62217E+04   6.29660E+02   1.16767E+03   3.31321E+02  -2.04414E-01   3.58304E-01   1.32830E+00   0.00000E+00   0.00000E+00   0.00000E+00   3.73473E+00   1.86484E+00
 -7.90045E-02   6.51840E+16   5.12153E+00   3.53509E+01   7.38542E+04   3.91617E+04   3.46925E+04   1.71409E+03   3.74476E+04   3.80772E+04   1.08451E+03   9.45609E+02   7.68486E+02  -1.90608E-01   3.51735E-01   1.32174E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.14712E+00   2.09631E+00
 -7.03233E-02   1.35121E+17   5.86608E+00   3.52327E+01   6.99979E+04   3.39364E+04   3.60615E+04   4.65532E+03   2.92811E+04   3.20981E+04   1.83828E+03   3.06414E+03   1.59118E+03  -1.77064E-01   3.45597E-01   1.31560E+00   0.00000E+00   0.00000E+00   0.00000E+00   4.63717E+00   2.32519E+00
 -6.24150E-02   2.75186E+17   6.73358E+00   3.62081E+01   8.28137E+04   4.52681E+04   3.75456E+04   1.72611E+04   2.80070E+04   4.17452E+04   3.52291E+03   1.39745E+04   3.28656E+03  -1.63866E-01   3.40004E-01   1.31000E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.18765E+00   2.57477E+00
 -5.51922E-02   5.24100E+17   7.65644E+00   3.81787E+01   1.01059E+05   6.14503E+04   3.96086E+04   2.76944E+04   3.37558E+04   5.49584E+04   6.49186E+03   2.14874E+04   6.20700E+03  -1.50813E-01   3.35176E-01   1.30465E+00   0.00000E+00   0.00000E+00   0.00000E+00   5.64881E+00   2.84015E+00
 -4.77486E-02   8.93135E+17   8.77108E+00   4.11582E+01   8.59920E+04   5.22131E+04   3.37789E+04   4.15444E+04   1.06687E+04   4.35992E+04   8.61389E+03   3.30205E+04   8.52386E+03  -1.38026E-01   3.33000E-01   1.29797E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.21650E+00   3.12103E+00
 -4.01964E-02   1.42139E+18   1.00821E+01   4.47914E+01   1.78091E+05   1.43747E+05   3.43438E+04   7.00380E+04   7.37087E+04   1.29269E+05   1.44779E+04   5.61821E+04   1.38559E+04  -1.25745E-01   3.33000E-01   1.29042E+00   0.00000E+00   0.00000E+00   0.00000E+00   6.83366E+00   3.40039E+00
