# Target loading - outer     : b2mn     B2.5 bjb99/7 SOLPS-ITER  2023-11-10  06:42 cydza170
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -3.94517E-01   3.53233E+15   1.28346E+00   5.62182E+00   6.43363E+04   1.33510E+04   5.09853E+04   1.27096E+01   1.33383E+04   1.02985E+04   3.05248E+03   7.09488E+00   5.61475E+00  -2.46325E-01   1.11508E+00  -2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.28774E+01   6.38330E+00
 -3.52409E-01   5.27599E+15   1.27172E+00   5.24715E+00   6.48008E+04   1.37927E+04   5.10081E+04   1.47421E+01   1.37780E+04   1.06386E+04   3.15411E+03   7.94994E+00   6.79215E+00  -2.32256E-01   1.15719E+00  -2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.41490E+01   7.07818E+00
 -3.07876E-01   4.01325E+15   1.37633E+00   4.17711E+00   6.43773E+04   1.45764E+04   4.98008E+04   7.97782E+00   1.45685E+04   1.12448E+04   3.33162E+03   4.23484E+00   3.74298E+00  -2.18308E-01   1.20172E+00  -2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.53332E+01   7.57691E+00
 -2.60278E-01   6.73357E+15   9.19163E-01   2.25503E+00   6.07407E+04   1.36309E+04   4.71098E+04   6.49620E+00   1.36244E+04   1.05142E+04   3.11667E+03   2.05349E+00   4.44271E+00  -2.04415E-01   1.24932E+00  -2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.71699E+01   8.59653E+00
 -2.08657E-01   3.54880E+16   7.64893E-01   8.75631E-01   5.63098E+04   1.37042E+04   4.26056E+04   1.36774E+01   1.36905E+04   1.05620E+04   3.14220E+03  -1.18966E+00   1.48670E+01  -1.90609E-01   1.30094E+00  -2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.88744E+01   9.33367E+00
 -1.64444E-01   1.82539E+17   8.94918E-01   7.08280E-01   5.48236E+04   1.23577E+04   4.24659E+04   1.00330E+02   1.22573E+04   9.45622E+03   2.90144E+03  -1.16439E+00   1.01494E+02  -1.77066E-01   1.34430E+00  -2.05465E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.03769E+01   1.01595E+01
 -1.36022E-01   6.39193E+17   9.45503E-01   6.81328E-01   5.39391E+04   1.19859E+04   4.19532E+04   4.35515E+02   1.15504E+04   8.85811E+03   3.12780E+03  -5.38217E+01   4.89337E+02  -1.63868E-01   1.36860E+00  -2.04140E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.14264E+01   1.07919E+01
 -1.14850E-01   2.09602E+18   8.29587E-01   5.39589E-01   5.75681E+04   1.44860E+04   4.30821E+04   1.71132E+03   1.27747E+04   1.00125E+04   4.47347E+03   1.55974E+02   1.55534E+03  -1.50815E-01   1.38357E+00  -2.02643E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.15316E+01   1.07059E+01
 -9.59634E-02   4.60972E+18   6.14669E-01   4.84235E-01   5.98879E+04   1.62106E+04   4.36773E+04   3.14778E+03   1.30628E+04   1.01290E+04   6.08160E+03   5.01241E+01   3.09765E+03  -1.38028E-01   1.39692E+00  -2.01308E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.21462E+01   1.10276E+01
 -7.92256E-02   8.87613E+18   4.77145E-01   4.59912E-01   6.18949E+04   1.81412E+04   4.37537E+04   5.63483E+03   1.25063E+04   1.00396E+04   8.10157E+03   3.90094E+02   5.24474E+03  -1.25747E-01   1.40876E+00  -2.00124E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.28157E+01   1.14628E+01
