# Target loading - outer_top : b2mn     B2.5 bjb99/7 SOLPS-ITER  2023-11-10  07:02 cydza170
# x	 : coordinate along target [m]. <0 in PFR
# ne	 : electron density [1/m^3]
# Te	 : electron temperature [eV]
# Ti	 : ion temperature [eV]
# Wtot	 : total power flux [W/m^2]
# Wpart	 : power flux with particles [W/m^2]
# Wrad	 : power flux with radiation [W/m^2]
# Wpls	 : power flux with charged particles [W/m^2]
# Wneut	 : power flux with neutral particles [W/m^2]
# Wheat	 : power flux due to particles impinging on wall [W/m^2]
# Wpot	 : power flux due to recombination [W/m^2]
# Whtpl	 : power flux due to plasma particles impinging on wall [W/m^2]
# Wptpl	 : power flux due to plasma recombination [W/m^2]
# xMP	 : radial coordinate in midplane (IMP for inner target(s), OMP for outer(s)) [m]
# Rclfc	 : radial coordinate on target [m]
# Zclfc	 : vertical coordinate on target [m]
# Wpar_xpt	 : parallel power flux around x-point [W/m^2]
# WWpar	 : would-be parallel power flux without dissipation in divertor [W/m^2]
# WWtrg	 : would-be target power flux without dissipation in divertor [W/m^2]
# Lcnnt	 : connection length from midplane to target [m]
# Lcnnx	 : connection length from x-point to target [m]
#           x            ne            Te            Ti          Wtot         Wpart          Wrad          Wpls         Wneut         Wheat          Wpot         Whtpl         Wptpl           xMP         Rclfc         Zclfc      Wpar_xpt         WWpar         WWtrg         Lcnnt         Lcnnx
 -3.94516E-01   6.58643E+15   1.14880E+00   5.58963E+00   1.22712E+05   1.70436E+04   1.05669E+05   2.45078E+01   1.70191E+04   1.33793E+04   3.66424E+03   1.46399E+01   9.86786E+00  -2.46324E-01   1.11508E+00   2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.28774E+01   6.49409E+00
 -3.52407E-01   1.19709E+16   1.54859E+00   4.91683E+00   1.29492E+05   1.95428E+04   1.09949E+05   3.17895E+01   1.95110E+04   1.53373E+04   4.20546E+03   1.57762E+01   1.60133E+01  -2.32255E-01   1.15719E+00   2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.41490E+01   7.07079E+00
 -3.07873E-01   7.99761E+15   1.28093E+00   4.60653E+00   1.28983E+05   1.74669E+04   1.11516E+05  -4.86067E+00   1.74718E+04   1.37077E+04   3.75921E+03  -1.24798E+01   7.61915E+00  -2.18307E-01   1.20172E+00   2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.53332E+01   7.75633E+00
 -2.60274E-01   5.44336E+15   7.10203E-01   1.97300E+00   1.29804E+05   2.10693E+04   1.08735E+05   5.29561E+00   2.10640E+04   1.65426E+04   4.52675E+03   1.46674E+00   3.82887E+00  -2.04414E-01   1.24932E+00   2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.71699E+01   8.57336E+00
 -2.08651E-01   1.98579E+16   9.47259E-01   2.09948E+00   1.23734E+05   2.34394E+04   1.00294E+05   2.34955E+00   2.34370E+04   1.83971E+04   5.04226E+03  -7.44608E+00   9.79563E+00  -1.90608E-01   1.30094E+00   2.06000E+00   0.00000E+00   0.00000E+00   0.00000E+00   1.88744E+01   9.54077E+00
 -1.64439E-01   2.53264E+16   6.60988E-01   1.03732E+00   1.21778E+05   2.32782E+04   9.84997E+04   2.18049E+01   2.32564E+04   1.82690E+04   5.00923E+03   6.25256E+00   1.55523E+01  -1.77064E-01   1.34430E+00   2.05465E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.03769E+01   1.02175E+01
 -1.36018E-01   1.86102E+17   8.06178E-01   1.19254E+00   1.18588E+05   2.40343E+04   9.45537E+04   1.48591E+02   2.38857E+04   1.87425E+04   5.29174E+03  -1.43526E+01   1.62943E+02  -1.63866E-01   1.36860E+00   2.04140E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.14264E+01   1.06344E+01
 -1.14847E-01   1.10199E+18   1.02919E+00   9.26029E-01   1.26092E+05   2.76325E+04   9.84595E+04   1.04114E+03   2.65914E+04   2.10409E+04   6.59163E+03   1.59283E+02   8.81855E+02  -1.50813E-01   1.38357E+00   2.02643E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.15316E+01   1.08258E+01
 -9.59603E-02   3.36440E+18   9.95512E-01   8.22128E-01   1.32133E+05   3.04202E+04   1.01713E+05   2.97939E+03   2.74408E+04   2.18297E+04   8.59049E+03   2.81063E+02   2.69832E+03  -1.38026E-01   1.39693E+00   2.01307E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.21462E+01   1.11186E+01
 -7.92228E-02   8.77990E+18   8.26241E-01   7.69487E-01   1.36614E+05   3.24835E+04   1.04130E+05   7.12564E+03   2.53578E+04   2.07443E+04   1.17391E+04   8.31420E+02   6.29422E+03  -1.25745E-01   1.40876E+00   2.00124E+00   0.00000E+00   0.00000E+00   0.00000E+00   2.28157E+01   1.13529E+01
